epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2985.84,0.40991,0.32279,0.83911,0.92863,0.70238,0.79159,0.65794,0.47915,0.43012,0.84679,3.0007e-05,3.0007e-05,3.0007e-05
72,3024.35,0.42247,0.32294,0.83979,0.88888,0.71998,0.79313,0.65988,0.4731,0.42429,0.84226,2.90071e-05,2.90071e-05,2.90071e-05
73,3062.92,0.40452,0.31501,0.83597,0.87628,0.7313,0.79115,0.66047,0.47012,0.43138,0.83871,2.80072e-05,2.80072e-05,2.80072e-05
74,3101.48,0.40707,0.31135,0.83373,0.89721,0.72333,0.78491,0.65328,0.4754,0.43371,0.84033,2.70073e-05,2.70073e-05,2.70073e-05
75,3140.05,0.42395,0.32047,0.83707,0.87729,0.72932,0.78595,0.65415,0.47009,0.41792,0.83884,2.60074e-05,2.60074e-05,2.60074e-05
76,3178.46,0.40641,0.30879,0.83822,0.88248,0.73654,0.79564,0.66298,0.46544,0.41906,0.83616,2.50075e-05,2.50075e-05,2.50075e-05
77,3216.98,0.41063,0.30961,0.84116,0.87476,0.73666,0.79351,0.66251,0.46377,0.41091,0.8389,2.40076e-05,2.40076e-05,2.40076e-05
78,3255.51,0.40274,0.30448,0.83512,0.87573,0.72644,0.79383,0.66875,0.46256,0.42321,0.83861,2.30077e-05,2.30077e-05,2.30077e-05
79,3294.1,0.40191,0.3048,0.83703,0.89876,0.72362,0.79732,0.66712,0.464,0.41383,0.83486,2.20078e-05,2.20078e-05,2.20078e-05
80,3332.64,0.40793,0.31032,0.83807,0.87868,0.73547,0.79773,0.66374,0.47289,0.41353,0.83957,2.10079e-05,2.10079e-05,2.10079e-05
81,3371.15,0.40227,0.30842,0.83875,0.9138,0.71795,0.78936,0.65883,0.47142,0.41306,0.83959,2.0008e-05,2.0008e-05,2.0008e-05
82,3409.59,0.40406,0.30855,0.83321,0.88828,0.72409,0.79663,0.66813,0.46882,0.41107,0.83791,1.90081e-05,1.90081e-05,1.90081e-05
83,3448.09,0.4042,0.30495,0.83473,0.91535,0.71385,0.79707,0.6668,0.46975,0.40919,0.83857,1.80082e-05,1.80082e-05,1.80082e-05
84,3486.58,0.40415,0.3033,0.83424,0.89609,0.7272,0.80026,0.67111,0.46726,0.40612,0.83761,1.70083e-05,1.70083e-05,1.70083e-05
85,3525,0.40849,0.30664,0.83455,0.89415,0.72692,0.79724,0.6701,0.46408,0.4102,0.8393,1.60084e-05,1.60084e-05,1.60084e-05
86,3563.41,0.39871,0.3041,0.83314,0.91066,0.71742,0.79751,0.66647,0.46668,0.41385,0.8425,1.50085e-05,1.50085e-05,1.50085e-05
87,3601.76,0.4084,0.30292,0.83276,0.93349,0.69906,0.79728,0.67002,0.46262,0.40508,0.8376,1.40086e-05,1.40086e-05,1.40086e-05
88,3640.34,0.38688,0.29425,0.83223,0.93478,0.69601,0.79736,0.67035,0.45912,0.40519,0.83928,1.30087e-05,1.30087e-05,1.30087e-05
89,3678.89,0.39039,0.29746,0.83426,0.93822,0.7003,0.7987,0.67208,0.45997,0.39432,0.84064,1.20088e-05,1.20088e-05,1.20088e-05
90,3726.5,0.40246,0.30078,0.8312,0.91197,0.71345,0.80078,0.67204,0.4639,0.39547,0.84279,1.10089e-05,1.10089e-05,1.10089e-05
91,3835.64,0.34609,0.24876,0.79553,0.90039,0.72871,0.79866,0.66781,0.46602,0.40693,0.84062,1.0009e-05,1.0009e-05,1.0009e-05
92,3884.43,0.34008,0.24334,0.79568,0.92941,0.70731,0.79707,0.66848,0.46244,0.41442,0.83727,9.0091e-06,9.0091e-06,9.0091e-06
93,3933.2,0.34501,0.24544,0.79913,0.87136,0.74445,0.79756,0.67049,0.4608,0.41085,0.83597,8.0092e-06,8.0092e-06,8.0092e-06
94,3981.8,0.34475,0.24613,0.79698,0.87678,0.7405,0.79739,0.67207,0.45912,0.40973,0.83637,7.0093e-06,7.0093e-06,7.0093e-06
95,4033.31,0.34284,0.24444,0.80223,0.87244,0.74193,0.79576,0.67096,0.45616,0.40539,0.83657,6.0094e-06,6.0094e-06,6.0094e-06
96,4082.81,0.33372,0.241,0.79578,0.93421,0.69854,0.7974,0.67037,0.46331,0.4113,0.83994,5.0095e-06,5.0095e-06,5.0095e-06
97,4132.44,0.33788,0.24284,0.8002,0.87245,0.74255,0.79685,0.66955,0.46122,0.4098,0.8395,4.0096e-06,4.0096e-06,4.0096e-06
98,4182.55,0.33441,0.24219,0.79771,0.92969,0.69824,0.79766,0.6688,0.45956,0.41005,0.83867,3.0097e-06,3.0097e-06,3.0097e-06
99,4232.16,0.33738,0.24235,0.8,0.93882,0.69292,0.797,0.66841,0.45953,0.41104,0.83918,2.0098e-06,2.0098e-06,2.0098e-06
100,4282.39,0.33377,0.23945,0.79398,0.87405,0.73789,0.79704,0.66692,0.46028,0.41295,0.83803,1.0099e-06,1.0099e-06,1.0099e-06
